pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,4/20/2022,88.6,-2.26,6.55,"Mikolas, Miles",624585,571945,strikeout,swinging_strike,,,,,12,Jorge Soler strikes out swinging.,R,R,R,MIA,STL,S,2,,1,2,2022,0.36,0.3,1.04,2.81,,,,0,1,Bot,,,,,425877,,,7.341697489,-128.8177852,-3.714483033,2.531955133,25.77388868,-28.23486539,3.63,1.74,,,,89,2489,6.5,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.99,,,0,1,0,0,,6,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,155,-0.021,-0.158
FF,4/20/2022,93.4,-1.76,6.62,"Mikolas, Miles",624585,571945,,foul,,,,,12,Jorge Soler called out on strikes.,R,R,R,MIA,STL,S,,,0,0,2022,-0.15,1.32,1.04,3.02,,,665862,2,3,Bot,,,,,425877,,,7.544529735,-135.7681673,-6.38631982,-3.521603981,30.64375036,-14.67741985,3.63,1.74,,,,93.4,2139,6.4,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.06,,,,,,,,22,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,212,0,-0.035
SL,4/20/2022,90,-1.98,6.5,"Mikolas, Miles",660821,571945,,foul,,,,,14,Jesus Sanchez hit by pitch.,R,L,R,MIA,STL,S,,,1,0,2022,0,0.99,1.04,2.31,,,,1,4,Bot,,,,,425877,,,7.492059938,-130.7641373,-6.523201041,-1.636023842,28.47322813,-19.55446329,3.31,1.59,,,,89.9,2478,6.4,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.12,,,,,,,,27,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,203,0,-0.031
SL,4/20/2022,84,-2.12,6.68,"Gallegos, Giovanny",605119,606149,,called_strike,,,,,12,Brian Anderson walks.   Avisail Garcia to 2nd.,R,R,R,MIA,STL,S,,,1,0,2022,-0.08,0.2,1.04,2.67,,,541645,1,9,Bot,,,,,425877,,,7.393025694,-122.0737813,-3.202624252,-2.34368283,25.41604449,-29.74130003,3.31,1.56,,,,82.9,2268,5.8,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.72,,,,,,,,66,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,310,0,-0.058
FF,4/20/2022,97.1,-2.3,5.97,"Alcantara, Sandy",502671,645261,walk,ball,,,,,12,Paul Goldschmidt walks.,R,R,R,MIA,STL,B,,,3,2,2022,-0.86,1.03,1.01,2.41,,669242,,0,1,Top,,,,,607732,,,10.78917809,-140.9571643,-6.319585098,-14.02755449,32.99256287,-17.12091071,3.16,1.57,,,,96.7,1996,6.2,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.26,,,0.7,1,0,0,,2,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,234,-0.028,0.347
FF,4/20/2022,93.8,-1.82,6.77,"Gallegos, Giovanny",605119,606149,,ball,,,,,12,Brian Anderson walks.   Avisail Garcia to 2nd.,R,R,R,MIA,STL,B,,,2,1,2022,-0.55,1.61,1.01,3.14,,,541645,1,9,Bot,,,,,425877,,,8.438239005,-136.1544056,-7.14399624,-8.68830148,30.34684586,-10.68382419,3.34,1.59,,,,92.9,2179,5.9,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.57,,,,,,,,66,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,197,0,0.102
SI,4/20/2022,92.6,-1.76,6.59,"Mikolas, Miles",665862,571945,,ball,,,,,12,Jazz Chisholm Jr.  strikes out swinging.,R,L,R,MIA,STL,B,,,2,2,2022,-1.12,1.19,1,3.12,,,500743,1,5,Bot,,,,,425877,,,9.450594271,-134.4696263,-5.604446119,-15.63507423,30.61272156,-16.7246343,3.41,1.62,,,,92.2,2216,6.3,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.25,,,,,,,,37,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,210,0,0.089
CH,4/20/2022,91.6,1.11,6.09,"Cabrera, Génesis",624585,650893,,ball,,,,,12,"Jorge Soler grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,L,MIA,STL,B,,,0,0,2022,1.09,1.25,0.98,3.45,,,,1,8,Bot,,,,,425877,,,-2.648801504,-133.419491,-3.481054037,13.53137704,29.79178304,-16.74445312,3.52,1.79,,,,91,1832,6,661404,650893,425877,502671,669242,571448,657557,641933,664056,663457,54.54,,,,,,,,56,1,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,134,0,0.023
SL,4/20/2022,83.9,-1.51,5.62,"Bender, Anthony",502671,669622,strikeout,swinging_strike,,,,,14,Paul Goldschmidt strikes out swinging.,R,R,R,MIA,STL,S,2,,1,2,2022,1.05,-0.38,0.95,2.16,,,,0,9,Top,,,,,607732,,,3.614099825,-122.2133522,-0.812147197,9.701931197,25.65268376,-35.99282048,3.42,1.62,,,,83.3,2522,5.9,661404,669622,607732,542583,665862,621563,500743,624585,660821,541645,54.55,,,0,1,0,0,,59,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,64,0.058,-0.158
FF,4/20/2022,92.6,-2.18,6.51,"Mikolas, Miles",542583,571945,,ball,,,,,14,"Jesus Aguilar grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,MIA,STL,B,,,0,0,2022,-0.45,1.29,0.94,2.22,,,,0,2,Bot,,,,,425877,,,8.978989307,-134.4368862,-7.974176144,-7.430421575,29.43039583,-14.9297802,3.41,1.72,,,,93,2320,6.7,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.81,,,,,,,,12,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,210,0,0.033
